company,name,year,selling_price,km_driven,fuel,transmission,owner
Maruti,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Manual,First Owner
Skoda,Skoda Rapid 1.5 TDI,2014,370000,120000,Diesel,Manual,Second Owner
Honda,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Manual,Third Owner
Hyundai,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Manual,First Owner
Maruti,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 VTVT,2017,440000,45000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R LXI,2007,96000,175000,LPG,Manual,First Owner
Maruti,Maruti 800 DX BSII,2001,45000,5000,Petrol,Manual,Second Owner
Toyota,Toyota Etios VXD,2011,350000,90000,Diesel,Manual,First Owner
Ford,Ford Figo Diesel Celebration,2013,200000,169000,Diesel,Manual,First Owner
Renault,Renault Duster 110PS Diesel,2014,500000,68000,Diesel,Manual,Second Owner
Maruti,Maruti Zen LX,2005,92000,100000,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Manual,Second Owner
Maruti,Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R LXI,2009,180000,90000,Petrol,Manual,Second Owner
Mahindra,Mahindra KUV 100 mFALCON,2016,400000,40000,Petrol,Manual,First Owner
Maruti,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Manual,Second Owner
Hyundai,Hyundai i20 1.4 CRDi,2012,500000,53000,Diesel,Manual,Second Owner
Maruti,Maruti Alto LX,2002,150000,80000,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 2015-2017 Asta,2016,680000,100000,Diesel,Manual,First Owner
Mahindra,Mahindra Verito 1.5 D4,2011,174000,100000,Diesel,Manual,Second Owner
Honda,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Manual,First Owner
Maruti,Maruti SX4 ZDI,2012,600000,72000,Diesel,Manual,First Owner
Tata,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Manual,First Owner
Maruti,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Manual,First Owner
Chevrolet,Chevrolet Enjoy TCDi LTZ,2013,300000,70000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2009,220000,120000,Petrol,Manual,First Owner
Maruti,Maruti Omni E MPI,2018,254999,25000,Petrol,Manual,First Owner
Maruti,Maruti Vitara Brezza LDi,2017,670000,70000,Diesel,Manual,First Owner
Fiat,Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Manual,Second Owner
Maruti,Maruti Omni 8 Seater,2012,150000,35000,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Asta,2018,730000,2388,Petrol,Manual,First Owner
Maruti,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Manual,First Owner
Maruti,Maruti Alto 800 CNG,2019,330000,10000,CNG,Manual,Second Owner
Maruti,Maruti Alto K10 VXI,2019,366000,15000,Petrol,Manual,First Owner
Hyundai,Hyundai Verna VTVT 1.6,2019,1149000,5000,Petrol,Manual,First Owner
Datsun,Datsun GO D,2016,150000,42000,Petrol,Manual,First Owner
Tata,Tata Safari DICOR 2.2,2011,425000,60000,Diesel,Manual,Second Owner
Maruti,Maruti 800 Std,2012,150000,76000,Petrol,Manual,First Owner
Jeep,Jeep Compass 1.4 Limited,2019,2100000,5000,Petrol,Automatic,First Owner
Honda,Honda City i VTEC,2018,925000,28900,Petrol,Manual,First Owner
Honda,Honda City V MT,2013,425000,86300,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire VXi,2018,675000,23300,Petrol,Automatic,First Owner
Maruti,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Manual,First Owner
Maruti,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Manual,First Owner
Toyota,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Manual,First Owner
Toyota,Toyota Innova 2.5 G,2013,700000,99000,Diesel,Manual,First Owner
Mercedes-Benz,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Automatic,Second Owner
Honda,Honda Amaze S Diesel,2015,425000,49800,Diesel,Manual,First Owner
Mitsubishi,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Manual,First Owner
Honda,Honda City i DTEC,2015,600000,54700,Diesel,Manual,First Owner
Maruti,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Manual,First Owner
Honda,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Manual,First Owner
Toyota,Toyota Innova Crysta 2.8,2016,1650000,127700,Diesel,Automatic,Second Owner
Toyota,Toyota Innova 2.5 G,2016,950000,99000,Diesel,Manual,First Owner
Audi,Audi A6 2.0 TDI,2013,1750000,33900,Diesel,Automatic,Second Owner
Toyota,Toyota Corolla Altis 1.8,2018,1590000,25000,Petrol,Automatic,First Owner
Audi,Audi A6 2.0 TDI,2013,1689999,50000,Diesel,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class 220,2013,1425000,59000,Diesel,Automatic,First Owner
Tata,Tata Manza ELAN Quadrajet,2011,265000,120000,Diesel,Manual,First Owner
Hyundai,Hyundai i10 Magna,2011,190000,110000,Petrol,Manual,Third Owner
Hyundai,Hyundai i20 Asta 1.4,2013,425000,60000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Manual,Second Owner
Ford,Ford Figo 1.2P Titanium,2017,600000,25000,Petrol,Manual,Third Owner
Maruti,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Ameo 1.5 TDI,2016,540000,40000,Diesel,Manual,First Owner
Honda,Honda City i DTEC,2015,630000,135000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R AMT,2018,448000,30000,Petrol,Automatic,First Owner
Volkswagen,Volkswagen Ameo 1.5 TDI,2017,500000,80000,Diesel,Manual,First Owner
Maruti,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Manual,First Owner
Maruti,Maruti Vitara Brezza ZDi,2019,1025000,9850,Diesel,Automatic,First Owner
Hyundai,Hyundai i10 Magna,2011,235000,60000,Petrol,Manual,Second Owner
Maruti,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Manual,First Owner
Toyota,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Manual,Second Owner
Maruti,Maruti Swift Star VDI,2013,450000,120000,Diesel,Manual,Second Owner
Maruti,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Manual,Second Owner
Tata,Tata Indica DLS,2003,50000,70000,Diesel,Manual,First Owner
Volkswagen,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Manual,First Owner
Toyota,Toyota Innova 2.5 VX,2016,1200000,140000,Diesel,Manual,First Owner
Ford,Ford EcoSport 1.5 TDCi,2015,610000,90000,Diesel,Manual,First Owner
BMW,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Automatic,Second Owner
Maruti,Maruti Celerio ZXI MT,2017,484999,10000,Petrol,Manual,First Owner
Datsun,Datsun GO A Petrol,2016,275000,49000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 VXI,2016,315000,32000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2016,275000,38000,Petrol,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,2015,475000,78000,Diesel,Manual,First Owner
Hyundai,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Manual,First Owner
Maruti,Maruti Omni 8 Seater,2017,280000,32000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R LXI,2010,225000,44000,LPG,Manual,First Owner
Volkswagen,Volkswagen Polo 1.2 MPI,2015,455000,42000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Manual,Second Owner
Volkswagen,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Manual,Second Owner
Maruti,Maruti Zen Estilo LXI,2009,175000,55500,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Asta Optional,2013,525000,61500,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 Kappa,2016,565000,72000,Petrol,Automatic,First Owner
Maruti,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Manual,Third Owner
Hyundai,Hyundai i20 1.4 Asta,2017,725000,110000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R VXI,2009,185000,77000,Petrol,Manual,Second Owner
Tata,Tata Manza Aura (ABS),2010,200000,100000,Diesel,Manual,Second Owner
Maruti,Maruti Swift VXI,2019,615000,10000,Petrol,Manual,First Owner
Maruti,Maruti Eeco 7 Seater,2016,270000,100000,Petrol,Manual,Third Owner
Maruti,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Manual,First Owner
Mahindra,Mahindra Scorpio VLX AT,2014,625000,70000,Diesel,Automatic,Second Owner
Ford,Ford Freestyle Titanium Petrol,2020,400000,5000,Petrol,Manual,Second Owner
Hyundai,Hyundai Verna VTVT 1.6,2017,866000,37800,Petrol,Manual,First Owner
Volkswagen,Volkswagen Passat 1.8 TSI,2010,700000,114000,Petrol,Manual,First Owner
Tata,Tata Indica Vista Aura,2010,300000,48000,Petrol,Manual,First Owner
Mahindra,Mahindra XUV500 W11 Option,2019,1700000,32000,Diesel,Manual,First Owner
Tata,Tata Indigo CS LS,2016,375000,100000,Diesel,Manual,First Owner
Hyundai,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Manual,Second Owner
Hyundai,Hyundai i20 Magna 1.4,2013,451999,69000,Diesel,Manual,First Owner
Toyota,Toyota Corolla Altis G,2009,300000,100000,Petrol,Manual,Second Owner
Maruti,Maruti Celerio VXI,2020,475000,13000,Petrol,Manual,First Owner
Maruti,Maruti Vitara Brezza ZDi,2016,780000,60000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R VXI,2017,440000,35000,Petrol,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Manual,Second Owner
Nissan,Nissan Terrano XL 85,2014,400000,70000,Diesel,Manual,Third Owner
Hyundai,Hyundai Creta 1.6 CRDi,2016,1140000,50000,Diesel,Manual,First Owner
Ford,Ford EcoSport 1.5 Diesel,2017,850000,76139,Diesel,Manual,First Owner
Renault,Renault KWID 1.0,2018,350000,25000,Petrol,Manual,First Owner
Maruti,Maruti Celerio VXI,2015,360000,40000,Petrol,Manual,Second Owner
Maruti,Maruti Ertiga VDI,2013,625000,90000,Diesel,Manual,Second Owner
Hyundai,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Manual,Second Owner
Maruti,Maruti Ertiga VDI,2015,700000,110000,Diesel,Manual,Second Owner
Honda,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Manual,First Owner
Audi,Audi Q5 35TDI Premium,2018,3975000,31800,Diesel,Automatic,First Owner
Lexus,Lexus ES 300h,2019,5150000,20000,Petrol,Automatic,First Owner
Jaguar,Jaguar XF 2.0 Diesel,2017,3200000,45000,Diesel,Automatic,First Owner
Jeep,Jeep Wrangler 2016-2019 3.6,2017,4100000,17000,Petrol,Automatic,First Owner
Land,Land Rover Discovery Sport,2019,4500000,21000,Diesel,Automatic,First Owner
BMW,BMW 5 Series 520d,2018,3790000,29500,Diesel,Automatic,First Owner
BMW,BMW X1 sDrive 20D,2017,2150000,27000,Diesel,Automatic,First Owner
BMW,BMW X4 M Sport,2019,5800000,7500,Diesel,Automatic,First Owner
Skoda,Skoda Superb LK 1.8,2018,1864999,50000,Petrol,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz E-Class E250 Edition,2016,2700000,35000,Diesel,Automatic,First Owner
MG,MG Hector Sharp AT,2019,1750000,19000,Petrol,Automatic,First Owner
Honda,Honda City i-VTEC CVT,2017,795000,41000,Petrol,Automatic,First Owner
Toyota,Toyota Corolla Altis 1.8,2013,625000,39000,Petrol,Automatic,First Owner
Volvo,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Automatic,First Owner
Audi,Audi Q7 35 TDI,2015,2650000,53000,Diesel,Automatic,First Owner
Maruti,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Manual,First Owner
Mercedes-Benz,Mercedes-Benz S-Class S 350,2017,5850000,47000,Diesel,Automatic,First Owner
BMW,BMW 5 Series 523i,2010,975000,72200,Petrol,Automatic,Second Owner
Hyundai,Hyundai Elantra S,2016,805000,49900,Petrol,Manual,First Owner
Jaguar,Jaguar XE 2016-2019 2.0L,2017,2625000,9000,Diesel,Automatic,First Owner
Tata,Tata Nexon 1.2 Revotron,2018,811000,11000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Manual,First Owner
Hyundai,Hyundai Elantra SX,2012,550000,95000,Petrol,Manual,First Owner
Skoda,Skoda Rapid 1.6 MPI,2016,645000,11000,Petrol,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz CLA 200 CGI,2018,2550000,18000,Petrol,Automatic,First Owner
Maruti,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C,2017,2700000,16000,Petrol,Automatic,First Owner
Honda,Honda City V AT,2017,875000,18000,Petrol,Automatic,First Owner
Toyota,Toyota Glanza V CVT,2019,894999,9654,Petrol,Automatic,First Owner
Maruti,Maruti Alto K10 VXI,2011,175000,11000,Petrol,Manual,First Owner
Maruti,Maruti Swift VXI,2012,340000,24300,Petrol,Manual,First Owner
Toyota,Toyota Innova Crysta 2.8,2016,1525000,42163,Diesel,Automatic,Second Owner
Tata,Tata Nexon 1.5 Revotorq,2018,1025000,8000,Diesel,Automatic,First Owner
BMW,BMW 3 Series 320d,2016,2150000,30000,Diesel,Automatic,First Owner
Toyota,Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Automatic,First Owner
BMW,BMW 5 Series 520d,2016,2900000,12000,Diesel,Automatic,First Owner
Toyota,Toyota Camry W4 (AT),2009,450000,71000,Petrol,Automatic,First Owner
Maruti,Maruti Ertiga BSIV ZXI,2016,850000,20000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Manual,Second Owner
Ford,Ford Figo Aspire 1.2,2018,575000,9500,Petrol,Manual,First Owner
